"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Mishra's Juggernaut","R","C","301898","6.32","52410","8.72","189440","58.3%","55.7%","30524","54.0%","48649","55.6%","79173","55.0%","110277","56.2%","-1.2pp"
"Mishra's Onslaught","R","C","330565","8.48","40062","12.00","42867","17.2%","54.5%","6690","51.1%","10697","53.4%","17387","52.5%","25429","55.8%","-3.3pp"
"Mishra's Research Desk","R","U","83654","4.56","26847","5.30","138654","81.4%","58.4%","25085","58.4%","36000","59.2%","61085","58.8%","77468","58.0%","0.9pp"
"Mishra, Claimed by Gix","BR","M","4595","1.60","3028","1.54","14675","77.7%","56.7%","2470","61.9%","4109","60.9%","6579","61.3%","8096","52.9%","8.4pp"
"Mishra, Excavation Prodigy","R","U","93722","5.20","13431","7.40","40493","49.5%","53.5%","6934","50.9%","10141","52.1%","17075","51.6%","23370","54.8%","-3.2pp"
"Mishra, Tamer of Mak Fawa","BR","R","12986","2.36","4716","2.36","18450","67.3%","50.8%","2982","48.8%","5128","50.8%","8110","50.1%","10340","51.3%","-1.3pp"
"Moment of Defiance","B","C","316915","7.10","51838","9.70","141058","44.2%","56.1%","22816","56.0%","40350","59.3%","63166","58.1%","77710","54.4%","3.7pp"
"Monastery Swiftspear","R","U","89633","4.98","17226","6.53","70699","65.6%","56.9%","12565","60.6%","17745","54.9%","30310","57.2%","40322","56.6%","0.6pp"
"Mox Amber","","M","10903","4.96","1237","7.75","112","1.5%","","22","","34","","56","","56","",""
"Myrel, Shield of Argive","W","M","3594","1.22","2951","1.20","16845","90.4%","57.9%","2822","63.2%","4456","62.9%","7278","63.0%","9580","54.0%","8.9pp"
"Mystic Forge","","M","6827","3.19","1181","3.95","2766","40.5%","47.3%","481","","768","46.1%","1249","46.7%","1505","47.8%","-1.1pp"
"No One Left Behind","B","U","87610","4.73","13999","6.55","47485","57.1%","52.5%","7513","49.6%","13517","54.4%","21030","52.7%","26418","52.4%","0.4pp"
"Obliterating Bolt","R","U","44843","2.41","21480","2.66","122530","91.1%","57.5%","21412","58.9%","31841","59.3%","53253","59.2%","69170","56.2%","3.0pp"
"Obstinate Baloth","G","U","57150","3.00","18484","3.53","100745","87.3%","56.6%","16928","58.6%","26742","58.8%","43670","58.8%","57051","55.0%","3.7pp"
"One with the Multiverse","U","M","9231","3.20","1995","3.66","4262","35.2%","51.0%","641","49.0%","1267","54.1%","1908","52.4%","2345","49.8%","2.6pp"
"Ornithopter","","U","123642","7.77","11157","11.93","4327","6.4%","48.0%","759","47.7%","1087","48.0%","1846","47.9%","2462","48.3%","-0.4pp"
"Over the Top","R","R","37271","6.27","4978","9.46","451","1.5%","","66","","127","","193","","258","",""
"Overwhelming Remorse","B","C","138657","2.73","54315","3.20","299009","89.5%","55.8%","49136","55.0%","85212","59.8%","134348","58.1%","164260","53.9%","4.1pp"
"Painful Quandary","B","R","20047","3.53","2840","4.67","6651","40.0%","47.4%","1088","45.4%","1948","48.7%","3036","47.5%","3598","47.4%","0.1pp"
"Penregon Strongbull","R","C","262932","5.51","67560","6.79","324191","76.6%","56.9%","55557","55.2%","84476","57.2%","140033","56.4%","183924","57.3%","-1.0pp"
"Perennial Behemoth","G","R","21822","3.54","3551","4.76","9521","44.6%","52.6%","1486","49.5%","2664","53.6%","4150","52.1%","5361","53.0%","-0.9pp"
"Perilous Vault","","M","6748","3.16","1170","4.01","3024","44.5%","50.8%","510","48.4%","845","54.7%","1355","52.3%","1664","49.5%","2.9pp"
"Perimeter Patrol","G","C","307900","6.82","42850","9.66","128553","48.8%","55.0%","22269","55.7%","32296","53.6%","54565","54.4%","73840","55.4%","-1.0pp"
