"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Outlaws' Merriment","WR","R","19537","2.83","6624","3.07","32974","82.3%","54.6%","5537","59.0%","7865","56.9%","13402","57.8%","19556","52.3%","5.5pp"
"Ride Down","WR","U","173654","6.62","20269","9.76","41223","33.9%","53.8%","6386","51.9%","9097","53.9%","15483","53.1%","25730","54.3%","-1.2pp"
"Savage Smash","RG","U","149459","5.20","22845","7.36","85506","62.5%","53.6%","13712","51.4%","19391","53.8%","33103","52.8%","52264","54.1%","-1.3pp"
"Siphon Insight","UB","R","31568","4.20","6522","5.46","27014","70.1%","52.9%","4609","52.2%","7686","58.0%","12295","55.8%","14601","50.3%","5.5pp"
"Terminal Agony","BR","U","156474","5.61","21050","8.15","69211","55.6%","52.2%","11123","50.3%","17754","55.3%","28877","53.4%","40086","51.3%","2.1pp"
"Tyrant's Scorn","UB","U","145746","5.13","28253","6.70","118776","70.4%","53.7%","20380","54.5%","34113","59.3%","54493","57.5%","63703","50.3%","7.2pp"
"Vanishing Verse","WB","R","32510","4.31","6592","5.56","28469","70.8%","55.6%","4858","56.6%","7361","60.3%","12219","58.8%","16187","53.1%","5.7pp"
"Villainous Wealth","UBG","R","26229","3.66","7956","4.17","36037","77.3%","52.0%","5713","48.0%","9937","57.5%","15650","54.0%","19851","50.1%","4.0pp"
"Void Rend","WUB","R","43623","5.85","6103","8.60","9640","26.6%","51.0%","1621","48.9%","2714","57.5%","4335","54.3%","5264","48.1%","6.2pp"
"Voidslime","UG","R","45329","6.22","5722","9.42","5642","16.5%","50.4%","919","44.9%","1421","56.6%","2340","52.0%","3253","49.0%","3.0pp"
"Contagion Engine","","M","8397","2.50","3025","2.69","15285","85.7%","52.3%","2442","48.9%","3973","55.7%","6415","53.1%","8837","51.7%","1.4pp"
"Grindstone","","M","17851","4.84","2007","7.41","2716","23.1%","45.9%","490","","749","46.9%","1239","42.8%","1474","48.6%","-5.9pp"
"Mindslaver","","M","12801","3.61","2449","4.52","8578","60.4%","50.8%","1366","48.5%","2217","52.3%","3583","50.9%","4980","50.8%","0.0pp"
"Unlicensed Hearse","","R","23086","3.07","5384","3.73","26146","82.0%","52.1%","4540","51.8%","6580","54.0%","11120","53.1%","15015","51.3%","1.7pp"
"Dust Bowl","","R","47883","6.60","5425","10.22","1682","5.1%","49.8%","290","","393","","683","47.0%","996","51.6%","-4.6pp"
