"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Coiling Rebirth","B","R","10485","3.23","2394","3.93","8915","64.5%","53.4%","1317","51.9%","2138","56.0%","3455","54.4%","5381","52.6%","1.8pp"
"Consumed by Greed","B","U","26846","3.36","7732","3.99","40549","87.7%","56.6%","6630","56.2%","9855","61.4%","16485","59.3%","23780","54.7%","4.6pp"
"Cruelclaw's Heist","B","R","11059","3.37","2226","4.16","7989","62.2%","52.2%","1355","50.7%","1939","53.8%","3294","52.6%","4631","51.7%","0.9pp"
"Daggerfang Duo","B","C","105420","5.60","18284","7.66","75917","71.1%","55.3%","13079","54.8%","18326","57.6%","31405","56.4%","44089","54.4%","2.0pp"
"Darkstar Augur","B","R","6641","2.16","3141","2.20","15513","84.4%","56.6%","2688","59.8%","3632","59.1%","6320","59.4%","9069","54.6%","4.8pp"
"Diresight","B","C","117413","6.58","15281","9.59","33967","37.9%","53.6%","5860","52.1%","7963","55.7%","13823","54.2%","20019","53.2%","0.9pp"
"Downwind Ambusher","B","U","30598","3.85","8583","4.64","43278","84.2%","57.6%","7198","58.9%","10195","61.2%","17393","60.3%","25674","55.7%","4.6pp"
"Early Winter","B","C","106947","5.64","14983","8.22","45579","52.3%","53.3%","7001","51.6%","10967","55.6%","17968","54.0%","27311","52.7%","1.3pp"
"Feed the Cycle","B","U","21250","2.74","7830","3.14","42030","89.7%","56.7%","7054","57.2%","10178","61.1%","17232","59.5%","24480","54.6%","4.9pp"
"Fell","B","U","18405","2.38","7381","2.68","40030","90.8%","56.7%","6984","58.1%","9677","61.6%","16661","60.1%","23008","54.2%","5.9pp"
"Glidedive Duo","B","C","104741","5.51","18837","7.49","79345","71.0%","56.0%","12290","54.4%","18726","58.7%","31016","57.0%","47444","55.1%","1.9pp"
"Hazel's Nocturne","B","U","38334","4.86","7344","6.48","29960","69.6%","55.2%","4448","53.4%","7308","58.2%","11756","56.4%","17993","54.3%","2.1pp"
"Huskburster Swarm","B","U","34356","4.36","6361","5.81","25448","69.3%","53.6%","3779","51.3%","6375","56.2%","10154","54.4%","15237","53.0%","1.4pp"
"Iridescent Vinelasher","B","R","6346","2.11","2763","2.13","13400","83.6%","55.4%","2460","59.2%","3053","58.3%","5513","58.7%","7810","53.0%","5.7pp"
"Maha, Its Feathers Night","B","M","1963","1.32","1502","1.29","8236","89.9%","58.6%","1395","63.9%","2010","64.6%","3405","64.3%","4795","54.5%","9.8pp"
"Moonstone Harbinger","B","U","32091","4.07","5908","5.36","24777","71.8%","55.0%","4393","56.3%","5770","57.1%","10163","56.8%","14267","53.3%","3.4pp"
"Nocturnal Hunger","B","C","70934","3.63","18934","4.54","100925","89.9%","55.9%","17326","54.8%","24218","59.2%","41544","57.4%","58644","54.8%","2.6pp"
"Osteomancer Adept","B","R","6279","2.07","3213","2.10","16680","87.5%","56.8%","2990","60.4%","4015","59.9%","7005","60.1%","9530","54.3%","5.8pp"
"Persistent Marshstalker","B","U","37575","4.75","6877","6.30","26203","64.8%","55.1%","4627","55.5%","6253","56.8%","10880","56.2%","15241","54.2%","2.0pp"
"Psychic Whorl","B","C","121215","7.23","14166","10.72","11681","14.0%","51.6%","1908","51.6%","2882","53.7%","4790","52.9%","6797","50.4%","2.4pp"
"Ravine Raider","B","C","115581","6.64","15198","9.39","38140","42.6%","55.6%","6777","58.0%","8154","53.8%","14931","55.7%","23135","55.5%","0.2pp"
"Rottenmouth Viper","B","M","2041","1.39","1513","1.37","8271","91.6%","56.3%","1410","56.7%","2105","61.1%","3515","59.4%","4751","53.9%","5.5pp"
"Ruthless Negotiation","B","U","43590","5.79","6023","8.46","15447","43.0%","55.9%","2641","57.3%","3679","58.2%","6320","57.8%","9042","54.6%","3.3pp"
"Savor","B","C","79018","3.97","20882","4.96","109566","87.6%","56.7%","19193","59.0%","26072","59.9%","45265","59.5%","63571","54.6%","4.9pp"
"Scales of Shale","B","C","116125","6.55","17712","9.06","50400","48.0%","56.7%","8048","56.4%","11304","59.6%","19352","58.2%","30832","55.6%","2.7pp"
"Scavenger's Talent","B","R","10218","3.32","2372","3.92","8582","61.6%","55.1%","1500","53.1%","2069","58.6%","3569","56.3%","4955","54.0%","2.4pp"
"Season of Loss","B","M","2439","1.62","1624","1.58","8632","87.9%","58.1%","1433","62.3%","2100","67.7%","3533","65.5%","5014","52.7%","12.9pp"
"Sinister Monolith","B","U","37017","4.78","5305","6.80","17529","57.4%","52.5%","2843","49.0%","4041","53.2%","6884","51.4%","10532","53.1%","-1.6pp"
"Stargaze","B","U","46656","6.33","6831","9.00","14281","35.4%","54.0%","2210","52.9%","3440","55.8%","5650","54.6%","8578","53.6%","1.1pp"
"Starlit Soothsayer","B","C","112048","6.11","13551","9.02","35324","44.7%","52.6%","5998","49.8%","7965","52.8%","13963","51.6%","20965","53.0%","-1.4pp"
"Starscape Cleric","B","U","30223","3.88","6381","4.87","29085","77.9%","55.1%","5146","56.1%","6503","56.4%","11649","56.3%","17013","53.9%","2.4pp"
"Thornplate Intimidator","B","C","108514","5.89","14466","8.61","42915","50.6%","53.9%","6879","52.5%","10166","56.4%","17045","54.9%","25694","53.2%","1.7pp"
"Thought-Stalker Warlock","B","U","24444","3.14","9371","3.54","50477","88.7%","58.1%","8689","62.2%","11711","61.2%","20400","61.6%","29738","55.5%","6.1pp"
"Valley Rotcaller","B","R","5966","2.00","2965","2.05","15790","89.7%","56.3%","2879","59.1%","3692","59.0%","6571","59.0%","9093","54.3%","4.8pp"
"Wick, the Whorled Mind","B","R","9113","2.92","2698","3.16","9791","64.0%","53.2%","1678","50.3%","2466","56.8%","4144","54.2%","5589","52.2%","1.9pp"
"Wick's Patrol","B","U","28209","3.66","9829","4.15","50035","84.7%","57.4%","7794","58.8%","12453","62.8%","20247","61.2%","29537","54.6%","6.6pp"
