"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Copperline Gorge","","R","28552","3.69","5680","5.11","20304","58.9%","55.4%","3812","57.5%","4215","50.2%","8027","53.7%","12027","56.4%","-2.7pp"
"Crawling Chorus","W","C","229688","4.05","54573","5.12","283101","83.2%","56.8%","51548","61.9%","58477","54.5%","110025","58.0%","172971","56.0%","2.0pp"
"Cruel Grimnarch","B","C","349556","7.54","37074","11.13","41864","18.8%","52.3%","5923","51.8%","10024","54.7%","15947","53.7%","25708","51.3%","2.3pp"
"Cutthroat Centurion","B","C","359415","8.09","38145","11.67","31807","13.9%","51.5%","5329","49.3%","7318","51.5%","12647","50.6%","19113","52.0%","-1.4pp"
"Darkslick Shores","","R","28004","3.70","4295","5.30","9941","39.2%","50.9%","1862","54.1%","2303","48.9%","4165","51.2%","5704","50.5%","0.7pp"
"Distorted Curiosity","U","U","105340","5.42","14063","7.71","37952","45.9%","51.4%","6389","49.3%","9783","54.4%","16172","52.4%","21737","50.6%","1.8pp"
"Dragonwing Glider","R","R","11273","1.77","8106","1.75","46522","91.0%","58.1%","7656","60.8%","10384","63.0%","18040","62.1%","28407","55.6%","6.5pp"
"Drivnod, Carnage Dominus","B","M","5521","1.69","2384","1.67","9676","70.7%","50.8%","1492","49.4%","2240","51.2%","3732","50.5%","5894","51.0%","-0.6pp"
"Dross Skullbomb","","C","346180","7.03","40959","10.20","79720","32.6%","51.6%","13709","47.6%","18280","51.9%","31989","50.1%","47499","52.5%","-2.4pp"
"Drown in Ichor","B","U","42338","2.15","17082","2.39","88891","85.6%","55.0%","15303","56.3%","21044","60.1%","36347","58.5%","52325","52.4%","6.1pp"
"Duelist of Deep Faith","W","C","205722","3.57","51362","4.57","277830","88.3%","55.6%","51270","56.9%","57252","53.9%","108522","55.3%","169208","55.7%","-0.4pp"
"Dune Mover","","C","270474","4.46","54740","6.17","274164","82.8%","54.0%","52802","54.5%","58977","52.2%","111779","53.3%","162026","54.6%","-1.3pp"
"Duress","B","C","360601","8.67","32024","12.93","3745","1.9%","47.8%","662","43.8%","817","44.2%","1479","44.0%","2261","50.2%","-6.2pp"
"Elesh Norn, Mother of Machines","W","M","3850","1.16","3300","1.15","18387","89.4%","57.5%","3012","62.4%","4115","62.5%","7127","62.5%","11208","54.3%","8.2pp"
"Encroaching Mycosynth","U","R","40891","5.78","5309","8.79","705","2.2%","40.1%","127","","166","","293","","410","",""
"Escaped Experiment","U","C","347280","7.71","45905","10.65","97404","35.6%","52.5%","17104","51.9%","21932","51.4%","39036","51.6%","58233","53.1%","-1.5pp"
"Evolved Spinoderm","G","R","10467","1.59","6961","1.56","37518","87.4%","56.6%","6436","61.3%","8273","58.8%","14709","59.9%","22747","54.5%","5.4pp"
"Evolving Adaptive","G","U","50644","2.55","22613","2.81","125967","89.0%","57.6%","23013","64.8%","27095","56.1%","50108","60.1%","75774","55.9%","4.2pp"
"Expand the Sphere","G","U","121448","6.63","11186","10.58","7415","11.0%","47.6%","1183","41.2%","1758","46.2%","2941","44.2%","4442","49.5%","-5.3pp"
"Experimental Augury","U","C","303115","5.90","43621","8.22","164147","63.3%","52.6%","28430","51.0%","42431","56.4%","70861","54.2%","92788","51.2%","3.1pp"
"Exuberant Fuseling","R","U","91373","4.42","23020","5.56","114943","80.2%","57.0%","20451","59.0%","24361","54.8%","44812","56.7%","70057","57.2%","-0.5pp"
"Eye of Malcator","U","C","334452","7.38","53984","9.55","143045","44.1%","53.9%","24523","54.4%","34379","53.8%","58902","54.1%","83930","53.9%","0.2pp"
"Ezuri, Stalker of Spheres","UG","R","21530","3.36","4572","4.03","12861","48.6%","49.4%","2091","48.8%","3207","53.0%","5298","51.3%","7441","47.9%","3.4pp"
"Feed the Infection","B","U","118504","6.23","12433","9.52","19529","26.2%","51.9%","3086","50.6%","4439","51.5%","7525","51.2%","11970","52.4%","-1.2pp"
"Flensing Raptor","W","C","191714","3.35","47922","4.24","252652","85.5%","56.0%","43605","56.4%","52784","57.7%","96389","57.1%","156081","55.3%","1.8pp"
"Fleshless Gladiator","B","C","337053","6.84","36131","10.09","79219","36.8%","51.8%","14072","50.4%","17822","51.0%","31894","50.7%","47256","52.5%","-1.8pp"
"Font of Progress","U","U","130901","7.75","15245","11.35","5036","5.6%","42.9%","885","37.1%","1208","42.2%","2093","40.0%","2905","44.6%","-4.6pp"
"Forgehammer Centurion","R","C","341174","7.15","47973","10.17","100542","34.2%","54.1%","16869","53.4%","21798","52.4%","38667","52.8%","61832","54.9%","-2.1pp"
"Free from Flesh","R","C","325577","6.44","60558","8.77","242426","64.5%","56.6%","37705","55.7%","52716","56.1%","90421","55.9%","151887","57.0%","-1.1pp"
"Furnace Punisher","R","U","92422","4.44","25832","5.49","134519","82.7%","58.0%","23424","59.0%","28512","56.9%","51936","57.9%","82503","58.1%","-0.3pp"
"Furnace Skullbomb","","C","352567","7.56","51700","10.54","92129","29.3%","53.5%","16116","49.6%","20546","51.6%","36662","50.8%","55358","55.3%","-4.5pp"
"Furnace Strider","R","C","286761","5.38","70006","6.89","341812","78.2%","57.3%","53103","57.0%","74702","58.3%","127805","57.8%","213692","57.0%","0.8pp"
"Geth, Thane of Contracts","B","R","30532","4.42","4201","6.41","3715","15.1%","46.6%","616","40.1%","869","44.0%","1485","42.4%","2224","49.4%","-7.1pp"
"Gitaxian Anatomist","U","C","355763","8.17","37497","11.87","32181","14.5%","48.3%","5055","45.3%","8150","49.0%","13205","47.6%","18793","48.8%","-1.2pp"
"Gitaxian Raptor","U","C","307936","5.98","50358","8.01","188745","62.6%","53.6%","32579","54.6%","47099","56.0%","79678","55.4%","107837","52.3%","3.1pp"
"Gleeful Demolition","R","U","128924","7.20","17736","10.40","15902","14.7%","53.9%","2477","52.0%","3465","53.6%","5942","52.9%","9952","54.4%","-1.5pp"
"Glissa Sunslayer","BG","R","10094","1.60","6277","1.53","30901","81.3%","54.1%","5435","59.9%","6892","58.1%","12327","58.9%","18451","50.9%","8.0pp"
"Glistener Seer","U","C","347363","7.58","46536","10.51","103441","37.5%","51.8%","18517","51.6%","24835","51.9%","43352","51.8%","59716","51.8%","0.0pp"
"Goldwarden's Helm","W","C","334045","6.75","50434","9.44","140671","45.6%","54.3%","23924","52.2%","29649","53.3%","53573","52.8%","87045","55.1%","-2.3pp"
"Graaz, Unstoppable Juggernaut","","R","26976","3.98","3902","5.46","6023","26.2%","48.6%","833","44.4%","1370","47.2%","2203","46.1%","3806","49.9%","-3.8pp"
"Green Sun's Twilight","G","R","19679","2.88","4241","3.48","15484","61.5%","51.9%","2542","49.0%","3533","52.3%","6075","50.9%","9405","52.5%","-1.6pp"
"Gulping Scraptrap","B","C","320967","6.12","36237","9.03","112919","52.3%","52.1%","17273","50.7%","26453","53.6%","43726","52.5%","68686","51.9%","0.6pp"
"Hazardous Blast","R","C","334901","6.98","64033","9.23","214887","53.9%","57.0%","31835","55.2%","46956","58.0%","78791","56.9%","136034","57.1%","-0.3pp"
"Hexgold Halberd","R","U","68565","3.34","25967","3.87","147457","90.7%","57.3%","26920","59.7%","31060","56.0%","57980","57.7%","89382","57.0%","0.7pp"
"Hexgold Hoverwings","W","U","66998","3.32","23741","3.79","124869","84.4%","57.1%","20691","58.7%","26575","59.8%","47266","59.3%","77490","55.8%","3.5pp"
"Hexgold Slash","R","C","175589","3.20","72805","3.67","418338","91.6%","57.6%","73395","59.0%","91418","58.4%","164813","58.7%","253232","57.0%","1.7pp"
"Ichor Synthesizer","U","C","314731","6.38","45936","8.74","159817","59.0%","51.6%","28565","52.5%","38546","51.6%","67111","52.0%","91971","51.3%","0.7pp"
"Ichormoon Gauntlet","U","M","15414","4.43","2197","6.39","491","3.7%","","80","","114","","194","","295","",""
"Ichorplate Golem","","U","75008","3.51","19912","4.34","94221","78.1%","54.9%","16484","54.2%","20981","54.3%","37465","54.2%","56542","55.3%","-1.0pp"
"Ichorspit Basilisk","G","C","292761","5.28","35039","7.91","128250","61.5%","51.9%","22108","50.2%","27839","51.1%","49947","50.7%","78173","52.6%","-1.9pp"
"Incisor Glider","W","C","262184","4.59","51033","6.19","255906","81.6%","55.8%","45608","55.5%","53426","55.9%","99034","55.7%","156678","55.9%","-0.2pp"
"Incubation Sac","G","U","78544","3.82","23738","4.54","118666","80.8%","56.7%","20723","57.5%","26030","57.1%","46753","57.3%","71739","56.3%","1.0pp"
"Indoctrination Attendant","W","C","252738","4.43","53447","5.84","269573","81.2%","56.6%","43696","57.0%","57679","58.7%","101375","57.9%","167979","55.8%","2.1pp"
"Infectious Bite","G","U","52603","2.58","18843","2.99","102370","88.7%","55.6%","16585","55.6%","22657","57.8%","39242","56.9%","63024","54.8%","2.1pp"
"Infectious Inquiry","B","C","310881","5.93","32992","8.93","105028","53.6%","52.3%","17825","50.4%","23851","53.0%","41676","51.9%","63118","52.6%","-0.7pp"
"Infested Fleshcutter","W","U","86208","4.28","12162","6.10","48134","66.1%","52.8%","7934","50.3%","10229","52.4%","18163","51.5%","29939","53.6%","-2.1pp"
