"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Brave the Wilds","G","C","387998","6.28","78003","8.31","325213","67.9%","55.3%","57551","54.3%","78996","56.2%","136547","55.4%","188390","55.3%","0.1pp"
"Break the Spell","W","C","430641","8.24","43560","12.12","19394","7.4%","50.2%","3018","48.5%","4492","51.2%","7510","50.1%","11858","50.1%","0.0pp"
"Callous Sell-Sword","B","U","118058","4.20","26640","5.52","120833","73.0%","56.6%","20841","56.0%","26428","57.5%","47269","56.8%","73337","56.4%","0.4pp"
"Candy Grapple","B","C","161217","2.48","77745","2.81","446366","92.1%","56.8%","77735","57.6%","112398","59.9%","190133","59.0%","255411","55.1%","3.9pp"
"Candy Trail","","C","408551","6.48","55340","9.49","121939","36.3%","54.4%","22961","53.6%","30555","56.4%","53516","55.2%","68268","53.8%","1.4pp"
"Chancellor of Tales","U","U","130861","5.18","16272","7.47","39341","41.1%","49.8%","6405","48.9%","10882","52.2%","17287","51.0%","21971","48.9%","2.1pp"
"Charmed Clothier","W","C","392806","6.47","44334","9.70","112251","42.1%","52.6%","17048","51.3%","27475","53.5%","44523","52.7%","67750","52.5%","0.1pp"
"Charming Scoundrel","R","R","20449","2.21","8938","2.38","48848","88.5%","56.3%","8899","57.1%","11058","56.3%","19957","56.7%","28827","56.0%","0.7pp"
"Cheeky House-Mouse","W","U","133912","4.88","22601","6.63","91946","66.2%","55.8%","16396","58.2%","19799","53.5%","36195","55.6%","55756","56.0%","-0.3pp"
"Collector's Vault","","U","153650","5.57","23228","7.98","69009","49.3%","52.6%","12679","51.4%","17646","53.8%","30325","52.8%","38515","52.4%","0.3pp"
"Commune with Nature","G","C","436430","8.76","46262","12.62","11075","3.9%","53.0%","1937","52.4%","2566","53.2%","4503","52.8%","6563","53.1%","-0.3pp"
"Compulsion","U","U","198815","8.15","21094","12.04","1777","1.4%","43.2%","301","","457","","758","41.7%","1015","44.3%","-2.6pp"
"Conceited Witch","B","C","321799","4.55","56151","6.47","267433","77.7%","55.3%","45628","54.9%","63403","56.8%","109031","56.0%","157731","54.8%","1.2pp"
"Cooped Up","W","C","257570","3.74","58592","4.87","304410","84.7%","55.3%","51704","54.5%","75463","57.9%","127167","56.5%","176313","54.4%","2.2pp"
"Copy Enchantment","U","R","26583","5.86","2870","9.26","1229","7.1%","44.8%","179","","346","","525","44.8%","696","44.5%","0.2pp"
"Cruel Somnophage","B","R","23435","2.64","6979","2.96","31618","76.0%","52.6%","5351","49.1%","8267","56.1%","13618","53.3%","17903","52.0%","1.3pp"
"Crystal Grotto","","C","383242","5.63","67416","8.02","325620","78.8%","55.0%","58944","54.7%","78630","56.2%","137574","55.5%","187381","54.5%","1.0pp"
"Curiosity","U","U","149524","5.29","19657","7.58","54989","47.1%","51.6%","8941","51.8%","15185","54.1%","24126","53.2%","30514","50.2%","3.1pp"
"Curse of the Werefox","G","C","305271","4.43","61061","6.05","310849","83.3%","54.8%","50999","53.1%","76609","56.6%","127608","55.2%","182898","54.5%","0.7pp"
"Cursed Courtier","W","U","112958","4.09","22137","5.40","99061","74.0%","53.6%","17048","53.8%","23790","53.2%","40838","53.5%","58333","53.6%","-0.2pp"
"Cut In","R","C","246338","3.66","80268","4.42","448386","89.2%","57.1%","73762","57.6%","105152","58.7%","178914","58.3%","269172","56.4%","1.9pp"
