"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"The Phasing of Zhalfir","U","R","40103","4.84","5319","6.84","5783","20.9%","50.4%","937","43.3%","1650","49.5%","2587","47.3%","3136","52.7%","-5.5pp"
"The Raven Man","B","R","18588","2.21","6051","2.34","26983","84.8%","54.4%","4814","55.2%","7390","56.2%","12204","55.8%","14574","53.2%","2.5pp"
"The Weatherseed Treaty","G","U","72469","2.81","28599","3.12","140495","89.7%","58.4%","25320","63.5%","35983","61.3%","61303","62.2%","77476","55.3%","6.9pp"
"The World Spell","G","M","15297","3.75","2279","4.86","3049","25.7%","50.7%","515","44.9%","792","49.9%","1307","47.9%","1694","52.4%","-4.5pp"
"Thran Portal","","R","41184","4.44","5173","6.44","15809","58.8%","53.8%","2912","52.2%","3879","51.4%","6791","51.7%","8834","55.6%","-3.9pp"
"Threats Undetected","G","R","37287","4.27","5616","5.84","12995","44.7%","53.7%","2228","52.0%","3299","53.7%","5527","53.0%","7335","54.0%","-0.9pp"
"Thrill of Possibility","R","C","451728","7.88","56429","11.22","97599","32.4%","55.8%","17510","54.8%","25724","55.1%","43234","54.9%","53833","56.5%","-1.5pp"
"Tidepool Turtle","U","C","464820","8.81","54608","12.50","21039","7.2%","52.2%","3563","50.2%","6071","53.1%","9634","52.0%","11254","52.3%","-0.3pp"
"Timeless Lotus","","M","14501","3.35","2959","3.95","4536","29.9%","50.1%","772","48.2%","1223","51.3%","1995","50.1%","2496","50.0%","0.1pp"
"Timely Interference","U","C","417396","6.59","84940","8.70","299861","65.5%","56.5%","51962","55.2%","83938","56.8%","135900","56.2%","149639","56.3%","-0.1pp"
"Tolarian Geyser","U","C","295578","4.20","100778","4.97","500953","90.1%","58.1%","87510","57.3%","146947","61.7%","234457","60.1%","258946","56.2%","3.8pp"
