"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Kami of Whispered Hopes","G","U","116639","3.29","25838","4.18","129738","84.6%","53.5%","22998","54.8%","29509","52.7%","52507","53.6%","77036","53.4%","0.3pp"
"Karsus Depthguard","R","C","392054","8.40","42748","11.99","45655","18.0%","51.3%","7808","49.9%","9981","49.2%","17789","49.5%","27867","52.5%","-3.0pp"
"Kenrith, the Returned King","W","M","4095","1.41","2805","1.43","15604","92.7%","54.4%","2595","54.5%","3860","58.8%","6455","57.1%","9187","52.4%","4.6pp"
"Keruga, the Macrosage","UG","R","14977","2.35","5906","2.71","30590","85.2%","55.7%","4893","53.6%","7840","58.1%","12733","56.4%","17779","55.1%","1.3pp"
"Khenra Spellspear","R","U","104513","3.11","31514","3.67","162009","85.3%","54.7%","29433","57.7%","38380","53.7%","67813","55.4%","93840","54.1%","1.3pp"
"Kitesail","","C","396217","8.33","45526","11.87","49641","18.1%","52.9%","8089","51.1%","10946","53.7%","19035","52.6%","30593","53.0%","-0.4pp"
"Kithkin Billyrider","W","C","354987","6.50","42028","9.32","127075","50.5%","53.9%","21684","52.3%","26874","50.4%","48558","51.2%","78360","55.5%","-4.3pp"
"Knight of the New Coalition","W","C","328947","5.63","50782","7.68","207630","66.7%","56.6%","33982","57.3%","45707","55.6%","79689","56.4%","127697","56.6%","-0.3pp"
"Knight-Errant of Eos","W","R","17870","1.94","8232","1.96","41186","83.4%","54.5%","6717","55.2%","9287","55.4%","16004","55.3%","25150","53.9%","1.4pp"
"Kogla and Yidaro","RG","R","22271","2.57","8621","2.48","35845","69.1%","54.4%","5801","58.4%","9172","61.0%","14973","60.0%","20961","50.3%","9.7pp"
"Kor Halberd","W","C","380850","7.51","45355","10.67","86247","31.5%","54.7%","14275","55.4%","18169","52.4%","32444","53.7%","53777","55.4%","-1.6pp"
"Kroxa and Kunoros","WBR","M","9764","2.26","3923","2.23","15259","67.0%","51.5%","2356","49.7%","3920","56.5%","6276","54.0%","8998","49.6%","4.4pp"
"Kroxa, Titan of Death's Hunger","BR","M","7575","2.61","2539","2.74","10563","68.8%","55.0%","1797","56.9%","2641","62.2%","4438","60.0%","6135","51.3%","8.7pp"
"Kwende, Pride of Femeref","W","U","137062","6.10","15860","8.97","33403","34.8%","54.4%","5268","52.4%","7157","51.0%","12425","51.6%","21007","56.1%","-4.5pp"
"Lathiel, the Bounteous Dawn","WG","R","26161","4.15","3586","5.92","9059","42.8%","50.4%","1514","46.1%","2017","49.6%","3531","48.1%","5496","51.7%","-3.6pp"
"Lithomantic Barrage","R","U","209349","6.81","26233","9.81","40750","25.9%","53.3%","6685","53.7%","9762","54.4%","16447","54.1%","24320","52.8%","1.3pp"
"Lurrus of the Dream-Den","WB","R","10859","1.77","6470","1.87","33161","83.1%","56.2%","5590","56.3%","8349","60.4%","13939","58.7%","19304","54.3%","4.4pp"
"Lutri, the Spellchaser","UR","R","17368","2.74","7253","3.01","13446","30.6%","54.2%","2197","50.0%","3319","54.2%","5516","52.5%","7968","55.3%","-2.8pp"
"Marauding Dreadship","R","C","373456","7.26","60644","9.63","184317","50.0%","55.3%","31325","55.4%","43409","55.8%","74734","55.6%","109523","55.1%","0.5pp"
"Marshal of Zhalfir","WU","U","136260","4.25","36664","4.80","165005","71.6%","59.3%","29078","64.2%","36699","60.4%","65777","62.1%","98838","57.3%","4.8pp"
