"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Tarrian's Soulcleaver","","R","14228","2.01","4573","2.06","21751","81.0%","52.3%","3859","53.0%","5193","52.7%","9052","52.9%","12528","51.8%","1.1pp"
"Threefold Thunderhulk","","R","9449","1.33","7438","1.32","42368","94.4%","54.7%","6789","54.5%","10645","58.5%","17434","56.9%","24424","52.9%","4.0pp"
"Throne of the Grim Captain","","R","27384","3.71","7303","4.16","17044","39.4%","52.6%","3062","59.2%","4590","58.4%","7652","58.8%","9088","47.1%","11.7pp"
"Treasure Map","","R","13895","1.96","6096","1.96","31313","87.7%","52.8%","5752","51.0%","7499","51.9%","13251","51.5%","17817","53.7%","-2.2pp"
"Captivating Cave","","C","302460","5.48","47570","7.85","233348","81.1%","54.5%","41428","54.5%","59345","55.9%","100773","55.3%","131203","53.9%","1.5pp"
"Cavern of Souls","","M","11715","3.12","1967","4.03","3971","33.5%","51.6%","688","53.2%","967","50.1%","1655","51.4%","2297","51.7%","-0.4pp"
"Cavernous Maw","","U","146822","6.98","17996","10.16","33306","31.2%","51.1%","5538","50.7%","8950","54.8%","14488","53.2%","18464","49.1%","4.1pp"
"Echoing Deeps","","R","42056","5.33","5705","7.91","7540","22.0%","48.4%","1182","48.6%","1974","50.0%","3156","49.5%","4332","47.6%","1.9pp"
"Forgotten Monument","","U","144392","6.70","20717","9.30","53116","43.0%","51.8%","9301","52.4%","14581","55.9%","23882","54.5%","28737","49.4%","5.1pp"
"Hidden Cataract","","C","319385","6.29","55480","8.80","272594","80.6%","55.6%","48153","56.2%","69547","54.9%","117700","55.4%","153192","55.6%","-0.3pp"
"Hidden Courtyard","","C","319647","6.23","50105","8.82","242616","79.4%","55.5%","42743","56.0%","58789","54.8%","101532","55.3%","140236","55.6%","-0.3pp"
"Hidden Necropolis","","C","314780","6.24","43791","8.81","204918","78.1%","53.8%","36317","55.4%","52739","55.0%","89056","55.2%","114662","52.6%","2.6pp"
"Hidden Nursery","","C","311226","6.08","41537","8.72","204405","81.1%","55.3%","36296","56.2%","49672","55.0%","85968","55.5%","117290","55.1%","0.4pp"
"Hidden Volcano","","C","311737","5.90","48274","8.48","242174","82.3%","55.5%","42812","56.0%","56521","53.7%","99333","54.7%","142091","56.1%","-1.5pp"
"Pit of Offerings","","U","138702","6.06","16211","9.09","44451","46.2%","50.2%","7010","46.4%","11390","51.9%","18400","49.8%","25781","50.3%","-0.5pp"
"Promising Vein","","C","315135","5.98","44664","8.60","180633","67.5%","53.0%","32926","53.1%","44842","54.0%","77768","53.6%","101870","52.5%","1.1pp"
"Restless Anchorage","","R","20032","2.67","7940","2.86","33606","69.2%","56.8%","6253","60.3%","8563","58.5%","14816","59.2%","18592","54.7%","4.5pp"
"Restless Prairie","","R","24617","3.25","6179","3.88","19539","52.5%","54.7%","3692","57.6%","4704","55.8%","8396","56.6%","11073","53.2%","3.5pp"
"Restless Reef","","R","22498","3.02","6613","3.45","21617","55.2%","53.6%","3985","58.2%","5870","56.7%","9855","57.3%","11545","50.2%","7.1pp"
"Restless Ridgeline","","R","21292","2.84","6230","3.20","25050","65.9%","56.9%","4675","62.1%","5871","57.9%","10546","59.8%","14384","54.8%","5.0pp"
"Restless Vents","","R","25955","3.36","5670","4.19","15007","44.6%","52.9%","2712","57.5%","3714","53.3%","6426","55.1%","8526","51.3%","3.8pp"
"Sunken Citadel","","R","27053","3.39","5888","4.26","28414","80.9%","53.4%","5175","54.0%","7006","53.2%","12181","53.6%","16104","53.3%","0.2pp"
"Volatile Fault","","U","153550","7.55","16883","11.19","22696","22.7%","49.0%","3747","46.4%","5725","50.6%","9472","48.9%","13112","48.9%","0.1pp"
